go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.023708   1,652 annotations READ: go_slim_results_M1_cpdb_0.5.txt 
235 IDs in all associations
func_module_number	
4	GO:0006811
5	GO:0007155;GO:0016043
6	GO:0002376;GO:0040011;GO:0050896;GO:0050789
7	GO:0002376;GO:0001906;GO:0050896;GO:0050789
8	GO:0050896;GO:0050789
9	GO:0050896;GO:0032502;GO:0050789
10	GO:0002376;GO:0001775;GO:0008283;GO:0044419;GO:0036211;GO:0050896;GO:0006793;GO:0050789
11	GO:0050877
12	GO:0006082;GO:0006805;GO:0042440
18	GO:0061024;GO:0051641;GO:0016192;GO:0016050
20	GO:0006412;GO:0006396;GO:0016070;GO:0042254
23	GO:0006520;GO:0016070;GO:0007005;GO:0065003;GO:0009059
24	GO:0050896;GO:0050789
25	GO:0045229;GO:0043062
26	GO:0050896;GO:0050789;GO:0007154
28	GO:0032502;GO:0009914;GO:0046903;GO:0050789
29	GO:0022607;GO:0051641;GO:0006810;GO:0006996
30	GO:0006412;GO:0050789;GO:0016070
31	GO:0061024;GO:0065008;GO:0007154;GO:0006811;GO:0050789;GO:0050877
34	GO:0002376;GO:0001816;GO:0044419;GO:0050896;GO:0050789
35	GO:0032502
36	GO:0006793;GO:0006629
38	GO:0006793;GO:0007155;GO:0006629
39	GO:0045229;GO:0022607;GO:0009059;GO:0043062
41	GO:0006412
42	GO:0032502;GO:0032501;GO:0006996
43	GO:0006508;GO:0009057
44	GO:0002376;GO:0050789;GO:0050896;GO:0044419
45	GO:0045229;GO:0050789;GO:0043062
46	GO:0006281;GO:0016070;GO:0065003;GO:0009059;GO:0050789
47	GO:0050789
48	GO:0007154;GO:0022406;GO:0016050;GO:0051640;GO:0016192;GO:0046903;GO:0048284;GO:0061024;GO:0006836;GO:0050789
49	GO:0006869;GO:0061024;GO:0065008
50	GO:0032501;GO:0022414
52	GO:0006936;GO:0050886;GO:0065008
53	GO:0002376;GO:0001816;GO:0001775;GO:0050789
54	GO:0065008;GO:0015931;GO:0006811;GO:0050789;GO:0016043
55	GO:0006351;GO:0001816;GO:0050789
56	GO:0051641;GO:0006810
