func_module_number	go_slim_pir
3	GO:0032502;GO:0036211
4	GO:0022607;GO:0006996
5	GO:0006066;GO:0006629;GO:0043603
6	GO:0065003;GO:0006119;GO:0007005;GO:0009117;GO:0022900
7	GO:0006811;GO:0065008
8	GO:0050789;GO:0050896;GO:0032502;GO:0016043;GO:0032501
9	GO:0006412
10	GO:0065008;GO:0009117;GO:1902600
11	GO:0036211
12	GO:0032502;GO:0032501;GO:0050789;GO:0050896
13	GO:0006869;GO:0065008;GO:0061024
14	GO:0007154;GO:0050789;GO:0050896
15	GO:0006396;GO:0016070;GO:0050789
16	GO:0006811
17	GO:0051641;GO:0006810
18	GO:0006805;GO:0006629;GO:0006790;GO:0050896;GO:0006082;GO:0043603
19	GO:0009057;GO:0016070;GO:0006396;GO:0042254
20	GO:0006936;GO:0006811;GO:0065009;GO:0050789
21	GO:0006629
22	GO:0006082;GO:0006629;GO:0006662;GO:0006793
23	GO:0006508;GO:0036211
24	GO:0006810;GO:0043473;GO:0051640;GO:0051641;GO:0065008;GO:0048753
25	GO:0006412
26	GO:0022900;GO:0006119
27	GO:0006508;GO:0009057
28	GO:0006629;GO:0043603
29	GO:0061024;GO:0046903;GO:0051640;GO:0048284;GO:0015031;GO:0006836;GO:0016192;GO:0022406;GO:0016050
30	GO:0043062;GO:0045229
31	GO:0006811
32	GO:0065003;GO:0006412;GO:0042254
33	GO:0006811
34	GO:0051640;GO:0007049;GO:0051276;GO:0051234;GO:0000280;GO:0007059;GO:0051261
35	GO:0006629;GO:0006793
37	GO:0016192;GO:0051641;GO:0061024;GO:0016050
38	GO:0061024;GO:0006508;GO:0051641;GO:0022411;GO:0044419;GO:0009057;GO:0007032;GO:0016192;GO:0022607;GO:0006914;GO:0016032
39	GO:0006996
40	GO:0007154;GO:0050789;GO:0015031;GO:0016192;GO:0065008
41	GO:0006810
42	GO:0009059
43	GO:0006629;GO:0051641;GO:0006082;GO:0051234;GO:0007031
44	GO:0006805;GO:0006629;GO:0050896;GO:0006082;GO:0042445
45	GO:0006936;GO:0032989;GO:0050877;GO:0032502;GO:0050879;GO:0006996;GO:0022607
46	GO:0016049;GO:0032502;GO:0050789;GO:0016043
47	GO:0015031;GO:0007005;GO:0061024
48	GO:0006629;GO:0006793
49	GO:0001775;GO:0050789;GO:0008283;GO:0050896;GO:0044419;GO:0032502;GO:0036211;GO:0006793;GO:0002376
50	GO:0015931;GO:0051641
51	GO:0001775;GO:0065003;GO:0050789;GO:0050896;GO:0001906;GO:0002376
52	GO:0006869;GO:0006629;GO:0050789;GO:0006793;GO:0016043;GO:0032501
53	GO:0065008;GO:0009057;GO:0016070;GO:0050789
54	GO:0007155;GO:0016043
55	GO:0050789
56	GO:0000375;GO:0015931;GO:0016070;GO:0051641
57	GO:0051606;GO:0050789;GO:0006811
58	GO:0007030;GO:0016192
59	GO:0006936;GO:0050789;GO:0008015;GO:0006811;GO:0065008
60	GO:0007049;GO:0065009;GO:0050789
61	GO:0032501
62	GO:0050789;GO:0006508;GO:0007049;GO:0009057;GO:0036211;GO:0022414
63	GO:0007030;GO:0015031;GO:0016192
64	GO:0006508;GO:0009057;GO:0036211
65	GO:0016070;GO:0006396;GO:0042254
66	GO:0065003;GO:0006996
67	GO:0050789
68	GO:0006082;GO:0009117;GO:0006091;GO:0005975
69	GO:0006629;GO:0051604;GO:0006793
70	GO:0015031
71	GO:0008152
72	GO:0051604;GO:0036211
73	GO:0036211
74	GO:0016070;GO:0006520
75	GO:0050789;GO:0006508;GO:0016070;GO:0009057;GO:0006811
76	GO:0006066;GO:0006629;GO:0042445
77	GO:0050789;GO:0007028;GO:0006396;GO:0032502;GO:0022414;GO:0006996;GO:0022607;GO:0032501
78	GO:0006805;GO:0006082;GO:0006629
79	GO:0050789;GO:0016043
80	GO:0006869;GO:0006629;GO:0006082
81	GO:0051641;GO:0016192
82	GO:0008150
83	GO:0051258;GO:0006996
84	GO:0050789;GO:0006281;GO:0036211;GO:0016043
85	GO:0006869;GO:0006629;GO:0051641;GO:0006082;GO:0007031;GO:0015849
87	GO:0006508;GO:0009057
88	GO:0006082;GO:0006520;GO:0009308
89	GO:0051234;GO:0007059;GO:0051640
90	GO:0015031
92	GO:0022607;GO:0031023;GO:0006996
93	GO:0008150
94	GO:0016070;GO:0006396;GO:0043412
95	GO:0050789;GO:0032502;GO:0006281;GO:0016043;GO:0032501
97	GO:0006811
98	GO:0065008;GO:0007154;GO:0050789;GO:0007155
99	GO:0006811
100	GO:0006810
104	GO:0006936;GO:0050789;GO:0050896;GO:0006811;GO:0065008
105	GO:0008152
106	GO:0009117
107	GO:0009117
108	GO:0016043
109	GO:0032502;GO:0032501;GO:0050789
110	GO:0032502;GO:0032501
111	GO:0032502;GO:0050789
112	GO:0000375;GO:0016070
113	GO:0015849;GO:0006865
114	GO:0050896;GO:0050789;GO:0002376
115	GO:0008037;GO:0050789;GO:0044419;GO:0050896;GO:0016192;GO:0002376
116	GO:0032501;GO:0022414
117	GO:0050789;GO:0045229;GO:0043062;GO:0032502;GO:0051179;GO:0022607
118	GO:0065003;GO:0051641
119	GO:0065003
120	GO:0002376;GO:0001816;GO:0050789;GO:0050896
121	GO:0036211;GO:0050789
122	GO:0006508;GO:0009057
123	GO:0016192
124	GO:0006810;GO:0051640;GO:0051641;GO:0022607;GO:0048753
125	GO:0040011;GO:0002376;GO:0050789;GO:0050896
126	GO:0065003;GO:0051604;GO:0006457;GO:0050896
127	GO:0051604;GO:0006457
128	GO:0051258;GO:0065008;GO:0050789;GO:0006996
129	GO:0040011;GO:0032502;GO:0050789;GO:0050896
131	GO:0032502;GO:0050789;GO:0016043
133	GO:0007049;GO:0051276;GO:0000280;GO:0022607;GO:0007059;GO:0022414
134	GO:0006281;GO:0050789
135	GO:0006281;GO:0050789;GO:0016043
136	GO:0006351
137	GO:0006260;GO:0032392;GO:0006281;GO:0050789
138	GO:0006112;GO:0005976;GO:0050789;GO:0036211;GO:0006793;GO:0009059
139	GO:0009059;GO:0006112;GO:0005976
140	GO:0051604;GO:0050789;GO:0051641;GO:0006457;GO:0051234
141	GO:0051258;GO:0007049;GO:0050789;GO:0006996
142	GO:0032502
143	GO:0050789;GO:0016043
144	GO:0046903;GO:0051640;GO:0016192;GO:0016043;GO:0022406
145	GO:0007033;GO:0050789;GO:0022411;GO:0022607;GO:0006914
146	GO:0006914;GO:0050789;GO:0050896
148	GO:0006629;GO:0051604;GO:0006793
149	GO:0008037;GO:0022414
151	GO:0006996;GO:0022607;GO:0006810;GO:0051640
152	GO:0006412;GO:0042254
153	GO:0051234;GO:0051641
154	GO:0007154;GO:0050789;GO:0046903;GO:0006836;GO:0016192;GO:0016043
155	GO:0006082;GO:0006629;GO:0045333
156	GO:0006066;GO:0009117
157	GO:0050789;GO:0016070;GO:0006396;GO:0042254;GO:0009057;GO:0043412;GO:0051179
158	GO:0050789
159	GO:0006412
161	GO:0050789
164	GO:0007059;GO:0051234;GO:0051276;GO:0051640
177	GO:0050789
178	GO:0019538;GO:0031647;GO:0016043
180	GO:0022607;GO:0007155
181	GO:0006811;GO:0032501;GO:0050789
182	GO:0032502;GO:0016043
184	GO:0006869
185	GO:0006351;GO:0048511;GO:0050789;GO:0050896
187	GO:0050789
188	GO:0000375;GO:0016070
189	GO:0000375;GO:0016070
190	GO:0043062;GO:0045229;GO:0008152
191	GO:0015849
193	GO:0050789;GO:0044419;GO:0050896;GO:0001816;GO:0002376
194	GO:0050789;GO:0046903;GO:0050896;GO:0015833;GO:0009914;GO:0032501
195	GO:0065008;GO:0008015;GO:0050789;GO:0016192
196	GO:0065009;GO:0050789
197	GO:0032502;GO:0006996
198	GO:0022607;GO:0050789;GO:0006996
199	GO:0001775;GO:0050789;GO:0044419;GO:0050896;GO:0032502;GO:0002376
200	GO:0036211
201	GO:0050789;GO:0006508;GO:0050896;GO:0009057;GO:0015031
202	GO:0006508;GO:0009057;GO:0050896;GO:0015031
203	GO:0065003
204	GO:0065003;GO:0007059;GO:0051276
205	GO:0000375;GO:0016070;GO:0050789
206	GO:0000375;GO:0016070;GO:0050789
207	GO:0065003;GO:0006396
208	GO:0065003;GO:0016070;GO:0009059
209	GO:0050789;GO:0006354
210	GO:0050789;GO:0006266;GO:0051276;GO:0032502;GO:0006281;GO:0009059;GO:0002376
211	GO:0032502;GO:0002376;GO:0050789;GO:0007155
212	GO:0045229;GO:0043062;GO:0050789
214	GO:0061024;GO:0051641;GO:0048284;GO:0016192;GO:0016050
215	GO:0006082;GO:0009117;GO:0006066;GO:0006790
216	GO:0022607;GO:0031023;GO:0050789;GO:0006996
217	GO:0009059;GO:0019538;GO:0006790
218	GO:0051234;GO:0051641
219	GO:0042044;GO:0015791;GO:0008643
220	GO:0007154;GO:0050789;GO:0007155;GO:0016043;GO:0065008
221	GO:0007154;GO:0050789;GO:0007155;GO:0061024;GO:0051703;GO:0022607;GO:0065008;GO:0032501
222	GO:0042180
223	GO:0006412;GO:0065008;GO:0050789
224	GO:0016043
226	GO:0065009;GO:0050789
229	GO:0032502;GO:0022414
235	GO:0032502;GO:0032501
245	GO:0001775;GO:0050789;GO:0022411;GO:0032502;GO:0006281;GO:0002376
246	GO:0050789;GO:0050896
247	GO:0006949;GO:0022607;GO:0007155
248	GO:0019538;GO:0050789;GO:0016192;GO:0006811
249	GO:0001775;GO:0050789;GO:0002376;GO:0008283
250	GO:0050789
252	GO:0050789
253	GO:0006629;GO:0050789;GO:0050896;GO:0036211;GO:0006793
254	GO:0006508;GO:0009057;GO:0036211
255	GO:0006396;GO:0016070;GO:0050789;GO:0016043
256	GO:0006281
257	GO:0016043
258	GO:0050789;GO:0016043
259	GO:0051641;GO:0016192
260	GO:0050789;GO:0016192;GO:0046903
261	GO:0065009
263	GO:0009117
265	GO:0065003;GO:0006810;GO:0007005
266	GO:0065003;GO:0016070;GO:0007005;GO:0006304
267	GO:0050789;GO:0016070;GO:0006396;GO:0009057;GO:0065008
268	GO:0009057;GO:0016070;GO:0050789
273	GO:0051703;GO:0032501
277	GO:0022607;GO:0006996
278	GO:0051641;GO:0016192
282	GO:0051234;GO:0051276;GO:0022414;GO:0051640
284	GO:0009117
286	GO:0050789
288	GO:0006508;GO:0009057;GO:0015031;GO:0007032;GO:0016192;GO:0022607
289	GO:0032502;GO:0007155;GO:0006996
290	GO:0051301;GO:0050789;GO:0006996
291	GO:0050789
293	GO:0032501
294	GO:0050896;GO:0050789;GO:0002376
296	GO:0050789
297	GO:0050789
299	GO:0016070;GO:0006396
300	GO:0050789;GO:0016070;GO:0006396;GO:0009057;GO:0065008
301	GO:0050789;GO:0006260;GO:0006281;GO:0009059;GO:0032392
302	GO:0006281;GO:0022414
303	GO:0006936;GO:0050789
306	GO:0050789
310	GO:0000280;GO:0007049;GO:0007059;GO:0050789
