go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.004608   1,852 annotations READ: go_slim_results_M1_string_0.3.txt 
291 IDs in all associations
func_module_number	
2	GO:0050789;GO:0046903;GO:0007154;GO:0022406;GO:0006836;GO:0061024;GO:0016050;GO:0048284;GO:0016192;GO:0051640
3	GO:0065008;GO:0009057;GO:0016070;GO:0050789
4	GO:0006412;GO:0050789
7	GO:0032501;GO:0032502
8	GO:0000375;GO:0065003;GO:0016070
9	GO:0019538
10	GO:0007155;GO:0050789;GO:0002376
11	GO:0006412;GO:0042254
12	GO:0050789;GO:0007033;GO:0050896;GO:0022607;GO:0006914
13	GO:0050896;GO:0050789
14	GO:0051234;GO:0007029;GO:0051641
17	GO:0036211
18	GO:0050789;GO:0050896;GO:0001816;GO:0002376;GO:0044419
19	GO:0006351;GO:0050896;GO:0050789
20	GO:0032501;GO:0022607
21	GO:0015031;GO:0050896;GO:0006508;GO:0009057
22	GO:0050896;GO:0050789
23	GO:0009117;GO:0022900;GO:0006119
24	GO:0050789
25	GO:0065008;GO:0006996;GO:0050789;GO:0061024;GO:0032502;GO:0051258
26	GO:0050896;GO:0065009;GO:0050789
28	GO:0006508;GO:0009057
29	GO:0065009;GO:0050789
30	GO:0043062;GO:0045229;GO:0032502
31	GO:0050789
32	GO:0036211;GO:0050789;GO:0006351;GO:0050896;GO:0065009;GO:0048511;GO:0032502
33	GO:0065008;GO:0050789;GO:0051261;GO:0032502;GO:0006996
34	GO:0022406;GO:0061024;GO:0051641;GO:0016192;GO:0051640
35	GO:0050789
36	GO:0006412
37	GO:0050878;GO:0051604;GO:0050817;GO:0050896
38	GO:0009059;GO:0019538;GO:0006629;GO:0050789
39	GO:0051641;GO:0016192
43	GO:0016043
44	GO:0051258;GO:0006996;GO:0050789;GO:0031023
45	GO:0032502;GO:0050896;GO:0032501;GO:0050789
46	GO:0006629;GO:0050789
47	GO:0050789;GO:0032502
48	GO:0006396;GO:0042254;GO:0016070
49	GO:0051641;GO:0006810;GO:0061024;GO:0007005
51	GO:0007059;GO:0006281
52	GO:0016050;GO:0051641;GO:0016192;GO:0061024
53	GO:0032502;GO:0050789;GO:0050896
54	GO:0006996;GO:0032502
55	GO:0051641;GO:0048753;GO:0016192;GO:0051640
56	GO:0050789;GO:0007155;GO:0022607;GO:0032502;GO:0006996
57	GO:0043062;GO:0032502;GO:0045229;GO:0050789
58	GO:0016043
59	GO:0000375;GO:0050789;GO:0016070
61	GO:0050789;GO:0032502
62	GO:0040011;GO:0050789;GO:0050896;GO:0002376;GO:0044419
63	GO:0006457
64	GO:0006811
65	GO:0022607;GO:0050789
66	GO:0016050;GO:0048284;GO:0061024
67	GO:0016192;GO:0065003
68	GO:0036211;GO:0050789;GO:0050896;GO:0006629;GO:0032502;GO:0006793
69	GO:0065008;GO:1902600;GO:0050789;GO:0006914
70	GO:0065008;GO:0050789
71	GO:0006396;GO:0050789;GO:0016070
72	GO:0043603;GO:0050789;GO:0051604;GO:0065009;GO:0042445;GO:0050886;GO:0006508
73	GO:0065008;GO:0036211;GO:0050789;GO:0006811;GO:0007154;GO:0050877
74	GO:0007154;GO:0050896;GO:0050789
75	GO:0050896;GO:0007005;GO:0050789
76	GO:0051641;GO:0015931
77	GO:0006396;GO:0009057;GO:0042254;GO:0016070
78	GO:0036211;GO:0050789;GO:0032501;GO:0022414;GO:0006793
79	GO:0036211;GO:0040011;GO:0050789;GO:0050896;GO:0007155;GO:0032502;GO:0002376;GO:0006793
80	GO:0006793;GO:0006139
81	GO:0050789
82	GO:0015031;GO:0050896;GO:0006508;GO:0009057
83	GO:0050789;GO:0032501;GO:0065009;GO:0006869;GO:0006629;GO:0016043
84	GO:0050789;GO:0050896;GO:0065009;GO:0002376;GO:0044419
85	GO:0065008;GO:0006865;GO:0016043;GO:0006811
86	GO:0050789;GO:0006281;GO:0051276;GO:0009059;GO:0006260
89	GO:0042908
90	GO:0065008;GO:0008655;GO:0006996;GO:0050789
91	GO:0032989;GO:0006996;GO:0022607;GO:0032502
93	GO:0050789
94	GO:0036211;GO:0016043;GO:0050789
95	GO:0032502;GO:0016043;GO:0050789
96	GO:0050789;GO:0006412;GO:0042254;GO:0016070
98	GO:0048511;GO:0050789
99	GO:0036211;GO:0032502
100	GO:0007154;GO:0050789
101	GO:0065003
102	GO:0006996;GO:0051234;GO:0050789;GO:0051640
103	GO:0009117;GO:0006091;GO:0005975;GO:0006082
104	GO:0050789;GO:0065003;GO:0061024;GO:0016050;GO:0048284
105	GO:0051641;GO:0006810
106	GO:0015031;GO:0015931
107	GO:0050789;GO:0050896;GO:0065009;GO:0001816;GO:0002376
108	GO:0015031;GO:0007031
109	GO:0032502;GO:0032501;GO:0050789
110	GO:0006996;GO:0031023;GO:0022607;GO:0050789
113	GO:0050789;GO:0008037;GO:0050896;GO:0002376;GO:0044419
114	GO:0036211;GO:0009057;GO:0006508;GO:0050789
115	GO:0006508;GO:0009057
116	GO:0006260
118	GO:0016050;GO:0061024
119	GO:0009117;GO:0050896;GO:0006091;GO:0006082
120	GO:0032502;GO:0001775;GO:0050789;GO:0002376
121	GO:0043062;GO:0045229
122	GO:0019538
123	GO:0036211;GO:0051604
124	GO:0036211;GO:0050789;GO:0007049;GO:0022414;GO:0009057;GO:0006508
125	GO:0051234;GO:0051641
126	GO:0036211;GO:0050789;GO:0050896;GO:0001775;GO:0032502;GO:0002376;GO:0006793
127	GO:0050896;GO:0050789
128	GO:0005976;GO:0006112
130	GO:0046903;GO:0015833;GO:0009914;GO:0050789
134	GO:0061024;GO:0016050;GO:0051641;GO:0006810;GO:0051640
