go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.003084     753 annotations READ: go_slim_results_K1_humanbase_0.4.txt 
92 IDs in all associations
func_module_number	
1	GO:0050896;GO:0032502;GO:0032501;GO:0050789
3	GO:0036211;GO:0050896;GO:0006793;GO:0044419;GO:0002376;GO:0050789;GO:0032502;GO:0001775;GO:0008283
4	GO:0065008;GO:0032501
5	GO:0022411
6	GO:0022414;GO:0000280;GO:0006281
8	GO:0051641;GO:0065003;GO:0050789
11	GO:0050789
12	GO:0050896;GO:0050789
13	GO:0006457;GO:0031647;GO:0051604;GO:0050789
14	GO:0032502;GO:0016043;GO:0050789
16	GO:0007005;GO:0065003
17	GO:0050789
19	GO:0006139;GO:0006790;GO:0006082;GO:0006793;GO:0043603;GO:0045333
25	GO:0006260;GO:0006281;GO:0032392;GO:0050789
28	GO:0050789
32	GO:0065003
33	GO:0016043;GO:0050789
37	GO:0009117;GO:0050789
39	GO:0032502;GO:0032501;GO:0050789
45	GO:0006629;GO:0006793
50	GO:0050789
51	GO:0006266;GO:0006281;GO:0009059;GO:0002376;GO:0032502
57	GO:0006260;GO:0009059;GO:0006281
58	GO:0022607;GO:0006457;GO:0050789;GO:0050896
60	GO:1902600
61	GO:0008283;GO:0050789
62	GO:0022900;GO:0006119
65	GO:0050789;GO:0050896
69	GO:0001816;GO:0050789;GO:0002376;GO:0050896
75	GO:0006281;GO:0050789
77	GO:0009057;GO:0006508
80	GO:0006281;GO:0007059;GO:0050789;GO:0051276
82	GO:0050789
84	GO:0050896;GO:0002376;GO:0050789;GO:0001775;GO:0008283
88	GO:0006996;GO:0051641;GO:0022411;GO:0006810;GO:0051640
92	GO:0036211
93	GO:0001816;GO:0050896;GO:0044419;GO:0002376;GO:0050789
94	GO:0006996;GO:0022607
98	GO:0032502;GO:0032501
100	GO:0050789
105	GO:0036211;GO:0050789;GO:0050896;GO:0006793
107	GO:0032502
109	GO:0006996
110	GO:0050789;GO:0050896
117	GO:0044419;GO:0050789;GO:0002376;GO:0050896;GO:0065009
121	GO:0050789;GO:0050896
123	GO:0065009;GO:0002376;GO:0050789
127	GO:0036211;GO:0006793;GO:0050789;GO:0032502;GO:0016043
133	GO:0007155;GO:0032502;GO:0050789
139	GO:0036211
148	GO:0036211;GO:0009057;GO:0006508
157	GO:0050896;GO:0050789
162	GO:0009057;GO:0006508
163	GO:0016043
170	GO:0008152
171	GO:0032502;GO:0050789
178	GO:0051641;GO:0051276;GO:0009059;GO:0050789;GO:0006259
186	GO:0006351
187	GO:0002376;GO:0050896
191	GO:0050789;GO:0050896
197	GO:0036211;GO:0050789
198	GO:0050789
199	GO:0050789
205	GO:0051703;GO:0032501
207	GO:0050789
225	GO:0050896;GO:0002376;GO:0050789
231	GO:0050789
241	GO:0006351
246	GO:0006260
249	GO:0006811
254	GO:0050789
278	GO:0009057;GO:0006508
283	GO:0001816;GO:0050896;GO:0050789
286	GO:0006396;GO:0016070
292	GO:0006629;GO:0006793
293	GO:0043062;GO:0045229
294	GO:0051641;GO:0061024;GO:0051234
304	GO:0050789
327	GO:0040011;GO:0050789;GO:0002376;GO:0050896
340	GO:0002376;GO:0050789
346	GO:0050896
362	GO:0009057;GO:0006508
374	GO:0032502;GO:0050789
395	GO:0050789
411	GO:0050789;GO:0051276
415	GO:0050789
416	GO:0036211;GO:0050789;GO:0065009;GO:0006793
487	GO:0051276;GO:0006259;GO:0009059;GO:0050789;GO:0002376;GO:0050896;GO:0001775
491	GO:0050789
504	GO:0051641;GO:0016192
509	GO:0032502
